NOM_FORET,burned_buffer_m2,burned_core_m2,date,month,year
Monts Kouffe,0,0,8/1/15,8,2015
Monts Kouffe,0,0,9/1/15,9,2015
Monts Kouffe,0,0,10/1/15,10,2015
Monts Kouffe,41.89775241,174.3537104,11/1/15,11,2015
Monts Kouffe,35.26296092,224.2089628,12/1/15,12,2015
Monts Kouffe,175.8785222,361.6569626,1/1/16,1,2016
Monts Kouffe,4.350383399,0,2/1/16,2,2016
Monts Kouffe,0,0,3/1/16,3,2016
Monts Kouffe,0,0,4/1/16,4,2016
Monts Kouffe,0,0,5/1/16,5,2016
Monts Kouffe,0,0,6/1/16,6,2016
Monts Kouffe,0,0,7/1/16,7,2016
Monts Kouffe,0,0,8/1/16,8,2016
Monts Kouffe,0,0,9/1/16,9,2016
Monts Kouffe,0,0,10/1/16,10,2016
Monts Kouffe,0,0,11/1/16,11,2016
Monts Kouffe,30.08542383,257.562405,12/1/16,12,2016
Monts Kouffe,52.00672092,165.1558845,1/1/17,1,2017
Monts Kouffe,145.4191556,166.8111919,2/1/17,2,2017
Monts Kouffe,0.248954531,0,3/1/17,3,2017
Monts Kouffe,0,0,4/1/17,4,2017
Monts Kouffe,0,0,5/1/17,5,2017
Monts Kouffe,0,0,6/1/17,6,2017
Monts Kouffe,0,0,7/1/17,7,2017
Monts Kouffe,0,0,8/1/17,8,2017
Monts Kouffe,0,0,9/1/17,9,2017
Monts Kouffe,0,0,10/1/17,10,2017
Monts Kouffe,0,0,11/1/17,11,2017
Monts Kouffe,10.98329232,0.248960672,12/1/17,12,2017
Monts Kouffe,140.9603454,223.3902591,1/1/18,1,2018
Monts Kouffe,9.211544344,32.61370344,2/1/18,2,2018
Monts Kouffe,0.497916625,0,3/1/18,3,2018
Monts Kouffe,0,0,4/1/18,4,2018
Monts Kouffe,0,0,5/1/18,5,2018
Monts Kouffe,0,0,6/1/18,6,2018
Monts Kouffe,0,0,7/1/18,7,2018
Monts Kouffe,0,0,8/1/18,8,2018
Monts Kouffe,0,0,9/1/18,9,2018
Monts Kouffe,0,0,10/1/18,10,2018
Monts Kouffe,0,0,11/1/18,11,2018
Monts Kouffe,0,0,12/1/18,12,2018
Monts Kouffe,25.90765336,22.40642556,1/1/19,1,2019
Monts Kouffe,160.3963797,555.2765124,2/1/19,2,2019
Monts Kouffe,0.497912844,0,3/1/19,3,2019
Monts Kouffe,0,0,4/1/19,4,2019
Monts Kouffe,0,0,5/1/19,5,2019
Monts Kouffe,0,0,6/1/19,6,2019
Monts Kouffe,0,0,7/1/19,7,2019
Monts Kouffe,0,0,8/1/19,8,2019
Monts Kouffe,0,0,9/1/19,9,2019
Monts Kouffe,0,0,10/1/19,10,2019
Monts Kouffe,0,0,11/1/19,11,2019
Monts Kouffe,0,0,12/1/19,12,2019
Monts Kouffe,11.93648772,0.497916516,1/1/20,1,2020
Monts Kouffe,253.2661391,113.983,2/1/20,2,2020
Monts Kouffe,0,0,3/1/20,3,2020
Monts Kouffe,0,0,4/1/20,4,2020
Monts Kouffe,0,0,5/1/20,5,2020
Monts Kouffe,0,0,6/1/20,6,2020
Monts Kouffe,0,0,7/1/20,7,2020
Monts Kouffe,0,0,8/1/20,8,2020
Monts Kouffe,0,0,9/1/20,9,2020
Monts Kouffe,0,0,10/1/20,10,2020
Monts Kouffe,1.783684141,0,11/1/20,11,2020
Monts Kouffe,8.837555986,0,12/1/20,12,2020
Monts Kouffe,129.5780583,117.8661622,1/1/21,1,2021
Monts Kouffe,25.66239875,183.4982311,2/1/21,2,2021
Monts Kouffe,0,0,3/1/21,3,2021
Monts Kouffe,0,0,4/1/21,4,2021
Monts Kouffe,0,0,5/1/21,5,2021
Monts Kouffe,0,0,6/1/21,6,2021
Monts Kouffe,0,0,7/1/21,7,2021
Monts Kouffe,0,0,8/1/21,8,2021
Monts Kouffe,0,0,9/1/21,9,2021
Monts Kouffe,0,0,10/1/21,10,2021
Monts Kouffe,0,0,11/1/21,11,2021
Monts Kouffe,0,0,12/1/21,12,2021
Monts Kouffe,52.6958547,38.1394965,1/1/22,1,2022
Monts Kouffe,25.56386323,62.98645492,2/1/22,2,2022
Monts Kouffe,0,0,3/1/22,3,2022
Monts Kouffe,0,0,4/1/22,4,2022
Monts Kouffe,0,0,5/1/22,5,2022
Monts Kouffe,0,0,6/1/22,6,2022
Monts Kouffe,0,0,7/1/22,7,2022
Monts Kouffe,0,0,8/1/22,8,2022
Monts Kouffe,0,0,9/1/22,9,2022
Monts Kouffe,0,0,10/1/22,10,2022
Monts Kouffe,0,0,11/1/22,11,2022
Monts Kouffe,0.232358496,0.263599974,12/1/22,12,2022
Monts Kouffe,4.316314535,8.962504094,1/1/23,1,2023
Monts Kouffe,149.9173412,967.2678238,2/1/23,2,2023
Monts Kouffe,0,0,3/1/23,3,2023
Monts Kouffe,0,0,4/1/23,4,2023
Monts Kouffe,0,0,5/1/23,5,2023
Monts Kouffe,0,0,6/1/23,6,2023
Monts Kouffe,0,0,7/1/23,7,2023
Monts Kouffe,0,0,8/1/23,8,2023
Monts Kouffe,0,0,9/1/23,9,2023
Monts Kouffe,0,0,10/1/23,10,2023
Monts Kouffe,0,0,11/1/23,11,2023
Monts Kouffe,0.229432314,0.018549847,12/1/23,12,2023
Monts Kouffe,5.690906088,56.04951767,1/1/24,1,2024
Monts Kouffe,21.60603549,142.2141102,2/1/24,2,2024
Monts Kouffe,0,0,3/1/24,3,2024
Monts Kouffe,0,0,4/1/24,4,2024
